id,name,description,price
1,GPS Navigation,Portable GPS device for easy navigation,8
2,Child Seat,Safety-certified child car seat,12
3,Additional Driver,Authorize a second driver on the rental,15
4,Full Insurance,Comprehensive coverage with zero deductible,25
5,Roadside Assistance,24/7 emergency roadside support,10
6,Wi-Fi Hotspot,Portable 4G Wi-Fi device,9
7,Ski Rack,Roof-mounted ski and snowboard carrier,14
8,Snow Chains,Tire chains for winter driving,7
9,Fuel Prepay,Prepay for a full tank of fuel,60
10,Toll Pass,Electronic toll collection device,6
11,Premium Sound,Upgraded audio system package,11
12,Pet Package,Pet-friendly seat covers and barrier,13
